"CLNR";"visit";"species"
131;"A";"Bacidia rubella"
131;"A";"Buellia griseovirens"
131;"A";"Candelaria concolor/pacifica"
131;"A";"Candelariella reflexa"
131;"A";"Candelariella xanthostigma"
131;"A";"Lecanora argentata"
131;"A";"Lecanora hagenii aggr."
131;"A";"Lecidella flavosorediata"
131;"A";"Lepra albescens"
131;"A";"Lepraria vouauxii"
131;"A";"Melanelixia glabratula aggr."
131;"A";"Melanohalea exasperatula"
131;"A";"Myriolecis sambuci"
131;"A";"Parmelina tiliacea"
131;"A";"Phaeophyscia orbicularis"
131;"A";"Phlyctis argena"
131;"A";"Physcia adscendens"
131;"A";"Physcia tenella"
131;"A";"Punctelia subrudecta aggr."
131;"A";"Rinodina pyrina"
131;"A";"Xanthoria parietina"
131;"K";"Bacidia rubella"
131;"K";"Caloplaca cerinella"
131;"K";"Caloplaca chrysophthalma"
131;"K";"Caloplaca sp.1"
131;"K";"Candelaria concolor/pacifica"
131;"K";"Candelariella reflexa"
131;"K";"Candelariella xanthostigma"
131;"K";"Lecania cyrtella"
131;"K";"Lecanora allophana"
131;"K";"Lecanora argentata"
131;"K";"Lecanora barkmaniana"
131;"K";"Lecanora carpinea"
131;"K";"Lecanora chlarotera"
131;"K";"Lecanora hagenii aggr."
131;"K";"Lecidella flavosorediata"
131;"K";"Lepra albescens"
131;"K";"Lepraria finkii"
131;"K";"Lepraria vouauxii"
131;"K";"Melanelixia subargentifera"
131;"K";"Melanohalea exasperatula"
131;"K";"Myriolecis persimilis"
131;"K";"Myriolecis sambuci"
131;"K";"Parmelia sulcata"
131;"K";"Parmelina tiliacea"
131;"K";"Phaeophyscia orbicularis"
131;"K";"Phlyctis argena"
131;"K";"Physcia adscendens"
131;"K";"Physcia tenella"
131;"K";"Physconia distorta"
131;"K";"Pleurosticta acetabulum"
131;"K";"Rinodina pyrina"
131;"K";"Xanthomendoza fallax aggr."
131;"K";"Xanthoria parietina"
203;"A";"Arthonia radiata"
203;"A";"Cladonia coniocraea aggr."
203;"A";"Coenogonium pineti"
203;"A";"Lecanora chlarotera"
203;"A";"Lecanora strobilina aggr."
203;"A";"Lepraria finkii"
203;"A";"Lepraria incana"
203;"A";"Lepraria rigidula"
203;"A";"Melanelixia glabratula aggr."
203;"A";"Phlyctis argena"
203;"A";"Pseudosagedia aenea"
223;"A";"Amandinea punctata"
223;"A";"Bacidina chloroticula"
223;"A";"Candelariella reflexa"
223;"A";"Evernia prunastri"
223;"A";"Hypogymnia physodes"
223;"A";"Lecanora carpinea"
223;"A";"Lecanora chlarotera"
223;"A";"Lecanora hagenii aggr."
223;"A";"Lecanora hagenii aggr."
223;"A";"Lecidella elaeochroma aggr."
223;"A";"Lepraria rigidula"
223;"A";"Melanelixia glabratula aggr."
223;"A";"Melanohalea exasperatula"
223;"A";"Micarea prasina aggr."
223;"A";"Parmelia sulcata"
223;"A";"Parmelina tiliacea"
223;"A";"Phaeophyscia endophoenicea"
223;"A";"Phaeophyscia orbicularis"
223;"A";"Phlyctis argena"
223;"A";"Physcia adscendens"
223;"A";"Physcia stellaris"
223;"A";"Physcia tenella"
223;"A";"Pleurosticta acetabulum"
223;"A";"Polycauliona polycarpa"
223;"A";"Pseudevernia furfuracea"
223;"A";"Scoliciosporum sarothamni"
223;"A";"Xanthoria parietina"
302;"A";"Bacidia subincompta aggr."
302;"A";"Chaenotheca ferruginea"
302;"A";"Chaenotheca furfuracea"
302;"A";"Coenogonium pineti"
302;"A";"Graphis scripta"
302;"A";"Hypocenomyce scalaris"
302;"A";"Lecania naegelii"
302;"A";"Lecanora argentata"
302;"A";"Lecanora argentata"
302;"A";"Lecanora conizaeoides"
302;"A";"Lepraria elobata"
302;"A";"Lepraria incana"
302;"A";"Lepraria jackii"
302;"A";"Lepraria rigidula"
302;"A";"Micarea prasina aggr."
302;"A";"Phlyctis argena"
302;"A";"Pseudosagedia aenea"
302;"A";"Violella fucata"
302;"K";"Arthonia didyma"
302;"K";"Arthonia ruana"
302;"K";"Bacidia arceutina"
302;"K";"Bacidia subincompta aggr."
302;"K";"Buellia griseovirens"
302;"K";"Chaenotheca ferruginea"
302;"K";"Chaenotheca furfuracea"
302;"K";"Chaenotheca stemonea"
302;"K";"Coenogonium pineti"
302;"K";"Graphis scripta"
