"species";"conspicuousness";"identifiability"
"Acolium inquinans";1;-0.5
"Acolium karelicum";1;-0.5
"Acrocordia cavata";0;-0.5
"Acrocordia gemmata";0;-0.5
"aff. Lecania cyrtellina";0;-1
"aff. Pyrrhospora quernea";0;-1
"Agonimia allobata/repleta";0;-0.5
"Agonimia octospora";0;-0.5
"Agonimia tristicula";0;-0.5
"Alectoria sarmentosa";1;1
"Alyxoria varia aggr.";0;0.5
"Amandinea punctata";0;-0.5
"Anaptychia ciliaris";1;1
"Anisomeridium polypori";0;-0.5
"Arthonia atra";1;0.5
"Arthonia didyma";0;-0.5
"Arthonia dispersa";0;-1
"Arthonia faginea";0;-0.5
"Arthonia fuliginosa";0;-1
"Arthonia mediella";0;-0.5
"Arthonia radiata";1;0.5
"Arthonia ruana";0;-0.5
"Arthonia spadicea";0;0.5
"Arthrosporum populorum";0;-1
"Bacidia absistens";0;-0.5
"Bacidia arceutina";0;-1
"Bacidia circumspecta";0;-0.5
"Bacidia incompta";0;-1
"Bacidia laurocerasi";1;-1
"Bacidia rosella";1;0.5
"Bacidia rubella";1;0.5
"Bacidia subincompta aggr.";1;-0.5
"Bacidina arnoldiana aggr.";0;-0.5
"Bacidina chloroticula";0;-0.5
"Bacidina delicata";0;-0.5
"Bacidina neosquamulosa";0;-1
"Bacidina phacodes";0;-1
"Bactrospora dryina";1;0.5
"Biatora beckhausii";0;-0.5
"Biatora chrysantha";0;-1
"Biatora efflorescens";0;-0.5
"Biatora fallax";1;-0.5
"Biatora flavopunctata";0;-1
"Biatora globulosa";0;-0.5
"Biatora helvola";0;-1
"Biatora ocelliformis";0;-1
"Biatora rufidula";0;-1
"Biatora subduplex";1;-1
"Biatora vacciniicola";0;-1
"Biatora veteranorum";0;-1
"Biatoridium monasteriense";0;-0.5
"Bryobilimbia sanguineoatra";1;-0.5
"Bryoria capillaris";1;-1
"Bryoria fuscescens";1;-1
"Bryoria implexa";1;-1
"Bryoria nadvornikiana";1;-1
"Bryoria subcana";0;-1
"Bryostigma muscigenum";0;-0.5
"Buellia arborea";0;-1
"Buellia disciformis";1;-0.5
"Buellia erubescens";1;-0.5
"Buellia griseovirens";1;0.5
"Buellia schaereri";0;-0.5
"Byssoloma marginatum";0;-0.5
"Calicium adspersum";1;-0.5
"Calicium glaucellum";0;-1
"Calicium lenticulare";0;-0.5
"Calicium montanum";1;-0.5
"Calicium parvum";0;-1
"Calicium salicinum";0;-0.5
"Calicium trabinellum";0;-0.5
"Calicium viride";1;-0.5
"Caloplaca alnetorum/pyracea";1;-0.5
"Caloplaca cerina aggr.";1;0.5
"Caloplaca cerinella";0;-0.5
"Caloplaca cerinelloides";0;-0.5
"Caloplaca chlorina";0;-1
"Caloplaca chrysophthalma";1;-0.5
