"CLNR";"species"
131;"Acrocordia cavata"
131;"Acrocordia gemmata"
131;"aff. Lecania cyrtellina"
131;"Agonimia allobata/repleta"
131;"Agonimia octospora"
131;"Agonimia tristicula"
131;"Alyxoria varia aggr."
131;"Amandinea punctata"
131;"Anaptychia ciliaris"
131;"Anisomeridium polypori"
131;"Arthonia atra"
131;"Arthonia didyma"
131;"Arthonia mediella"
131;"Arthonia radiata"
131;"Arthonia spadicea"
131;"Bacidia absistens"
131;"Bacidia circumspecta"
131;"Bacidia incompta"
131;"Bacidia laurocerasi"
131;"Bacidia rosella"
131;"Bacidia rubella"
131;"Bacidia subincompta aggr."
131;"Bacidina arnoldiana aggr."
131;"Bacidina delicata"
131;"Bacidina neosquamulosa"
131;"Bactrospora dryina"
131;"Biatora beckhausii"
131;"Biatora chrysantha"
131;"Biatora efflorescens"
131;"Biatora globulosa"
131;"Biatora helvola"
131;"Biatora ocelliformis"
131;"Biatora veteranorum"
131;"Biatoridium monasteriense"
131;"Bryobilimbia sanguineoatra"
131;"Bryostigma muscigenum"
131;"Buellia arborea"
131;"Buellia disciformis"
131;"Buellia erubescens"
131;"Buellia griseovirens"
131;"Calicium adspersum"
131;"Calicium salicinum"
131;"Caloplaca cerina aggr."
131;"Caloplaca cerinella"
131;"Caloplaca cerinelloides"
131;"Caloplaca chlorina"
131;"Caloplaca chrysophthalma"
131;"Caloplaca ferruginea/hungarica"
131;"Caloplaca herbidella aggr."
131;"Caloplaca holocarpa"
131;"Caloplaca isidiigera"
131;"Caloplaca lucifuga"
131;"Caloplaca obscurella"
131;"Caloplaca sorocarpa"
131;"Caloplaca sp.1"
131;"Caloplaca ulcerosa"
131;"Candelaria concolor/pacifica"
131;"Candelariella reflexa"
131;"Candelariella vitellina"
131;"Candelariella xanthostigma"
131;"Catillaria nigroclavata"
131;"Catinaria atropurpurea"
131;"Cetrelia olivetorum aggr."
131;"Chaenotheca brachypoda"
131;"Chaenotheca brunneola"
131;"Chaenotheca laevigata"
131;"Chaenotheca stemonea"
131;"Chaenotheca trichialis"
131;"Chrysothrix candelaris"
131;"Cladonia coniocraea aggr."
131;"Cladonia fimbriata"
131;"Cladonia squamosa"
131;"Cliostomum corrugatum"
131;"Cliostomum haematommatis/Loxospora cristinae"
131;"Coenogonium luteum"
131;"Coenogonium pineti"
131;"Collema flaccidum"
131;"Collema nigrescens aggr."
131;"Eopyrenula leucoplaca"
131;"Evernia prunastri"
131;"Flavoparmelia caperata"
131;"Flavopunctelia flaventior"
131;"Graphis scripta"
131;"Gyalecta fagicola"
131;"Gyalecta flotowii"
131;"Gyalecta truncigena aggr."
131;"Haematomma ochroleucum"
131;"Halecania viridescens"
131;"Hyperphyscia adglutinata"
131;"Hypogymnia physodes"
131;"Hypogymnia tubulosa"
131;"Hypogymnia vittata"
131;"Hypotrachyna revoluta aggr."
131;"Lecania cyrtella"
131;"Lecanora albella"
131;"Lecanora allophana"
131;"Lecanora argentata"
131;"Lecanora barkmaniana"
131;"Lecanora carpinea"
131;"Lecanora chlarotera"
131;"Lecanora circumborealis"
131;"Lecanora expallens"
131;"Lecanora expersa"
131;"Lecanora hagenii aggr."
131;"Lecanora intumescens"
131;"Lecanora leptyrodes"
131;"Lecanora praesistens"
131;"Lecanora saligna"
131;"Lecanora strobilina aggr."
131;"Lecanora subcarpinea"
131;"Lecanora symmicta aggr."
131;"Lecidella albida"
131;"Lecidella elaeochroma aggr."
131;"Lecidella flavosorediata"
131;"Lepra albescens"
131;"Lepra amara"
131;"Lepra opthalmiza"
131;"Lepraria eburnea"
131;"Lepraria finkii"
131;"Lepraria incana"
131;"Lepraria rigidula"
131;"Lepraria vouauxii"
131;"Leptogium saturninum"
131;"Lobaria pulmonaria"
131;"Lopadium disciforme"
131;"Megalaria pulverea"
131;"Melanelixia glabra"
131;"Melanelixia glabratula aggr."
131;"Melanelixia subargentifera"
131;"Melanelixia subaurifera"
131;"Melanohalea elegantula"
131;"Melanohalea exasperata"
131;"Melanohalea exasperatula"
131;"Menegazzia terebrata"
131;"Micarea adnata"
131;"Micarea nitschkeana"
131;"Mycobilimbia epixanthoides/Lecania croatica"
131;"Mycobilimbia pilularis"
131;"Myriolecis persimilis"
131;"Myriolecis sambuci"
131;"Nephroma bellum"
131;"Nephroma parile"
131;"Nephroma resupinatum"
131;"Normandina acroglypta"
131;"Normandina pulchella"
131;"Ochrolechia androgyna aggr."
131;"Ochrolechia arborea"
131;"Ochrolechia pallescens"
131;"Ochrolechia szatalaensis"
131;"Ochrolechia turneri"
131;"Opegrapha sp.1"
131;"Opegrapha vermicellifera"
131;"Opegrapha vulgata aggr."
131;"Pannaria conoplea"
131;"Parmelia saxatilis aggr."
131;"Parmelia submontana"
131;"Parmelia sulcata"
131;"Parmeliella triptophylla"
131;"Parmelina pastillifera"
131;"Parmelina quercina aggr."
131;"Parmelina tiliacea"
131;"Parmotrema crinitum"
131;"Parmotrema perlatum"
131;"Peltigera collina"
131;"Pertusaria alpina"
131;"Pertusaria coccodes"
131;"Pertusaria coronata"
131;"Pertusaria leioplaca"
131;"Pertusaria pupillaris"
131;"Phaeophyscia endophoenicea"
131;"Phaeophyscia orbicularis"
131;"Phlyctis agelaea"
131;"Phlyctis argena"
131;"Physcia adscendens"
131;"Physcia aipolia"
131;"Physcia stellaris"
131;"Physcia tenella"
131;"Physciella chloantha"
131;"Physconia distorta"
131;"Physconia enteroxantha"
131;"Physconia grisea"
131;"Physconia perisidiosa"
131;"Piccolia ochrophora"
131;"Placynthiella icmalea"
131;"Pleurosticta acetabulum"
131;"Polycauliona candelaria"
131;"Polycauliona polycarpa"
131;"Protoparmelia hypotremella"
131;"Pseudosagedia aenea"
131;"Pseudoschismatomma rufescens"
131;"Punctelia subrudecta aggr."
131;"Pyrenula laevigata"
131;"Ramalina europaea/pollinaria"
131;"Ramalina farinacea"
131;"Ramalina fastigiata"
131;"Ramalina fraxinea"
131;"Ramalina obtusata aggr."
131;"Reichlingia leopoldii"
131;"Rinodina albana"
131;"Rinodina archaea"
131;"Rinodina capensis"
131;"Rinodina conradii"
131;"Rinodina efflorescens"
131;"Rinodina exigua"
131;"Rinodina freyi"
131;"Rinodina griseosoralifera"
131;"Rinodina orculata"
131;"Rinodina polysporoides"
131;"Rinodina sophodes"
131;"Ropalospora viridis"
131;"Sclerophora pallida"
131;"Scoliciosporum chlorococcum"
131;"Scoliciosporum sarothamni"
131;"Scoliciosporum umbrinum"
131;"Sticta sylvatica"
131;"Strigula jamesii"
131;"Strigula stigmatella"
131;"Tephromela atra"
131;"Tetramelas chloroleucus"
131;"Thelopsis rubella"
131;"Usnea dasopoga"
131;"Usnea diplotypus"
131;"Usnea intermedia"
131;"Usnea perplexans"
131;"Usnea subfloridana"
131;"Usnea substerilis"
131;"Usnocetraria oakesiana"
131;"Varicellaria hemisphaerica"
131;"Vezdaea aestivalis"
131;"Xanthomendoza fallax aggr."
131;"Xanthomendoza fulva"
131;"Xanthomendoza ulophyllodes"
131;"Xanthoria parietina"
131;"Zwackhia viridis"
203;"Acolium inquinans"
203;"Acolium karelicum"
203;"Acrocordia gemmata"
